T10_1	T10_2	T10_3	T14_1	T14_2	T14_3	T20_1	T20_2	T20_3	T26_1	T26_2	T26_3	T24_1	T24_2	T24_3
ostta01g00910	48.3990855995512	54.4941658881965	58.1486422038583	31.6341845590258	30.5436128582714	28.7172300031182	32.4361037377666	59.7474766381862	61.3644228574843	81.2136818139598	90.2562891093054	81.4895821336346	171.491169503154	203.42343916234	260.570607921246
ostta01g00920	31.4106779901256	35.4731186128715	39.1029317966747	39.738061128209	37.7024279059256	42.38750047202	54.7483795026694	68.1908808637265	55.1767297851123	54.6344883737127	48.3990855995512	49.5349678571563	126.436039669554	152.571707169195	171.833902450204
ostta01g00930	12.4885088318276	11.4059545572964	12.7971370453468	14.0361350442343	13.7050909212071	14.3897542519755	13.0193211559637	14.1387821604069	13.1250773139245	12.0742728824461	11.6149189541425	10.6154397374269	12.7190245849458	12.5683533442427	12.4933669216522
ostta01g00940	48.0978121230622	50.4108198848445	46.3031262211625	49.0877736373296	49.5866376484056	48.274176256284	54.8133799118032	50.0082632681231	50.7079105740232	41.1471432577275	43.73882995184	41.7503286425794	65.3236858892962	68.0566530371046	57.7091106450134
ostta01g00950	100.439494845035	88.5386645050248	97.2799904889134	50.3757161264684	45.7573446894215	41.5099801187427	49.9493881098923	52.2883536986516	51.3208961288226	71.5220952516587	75.2726447326389	75.9322682247816	185.948084996775	221.671825809991	200.561950686933
ostta01g00960	38.7622634369243	29.1667597418009	28.7395850495101	40.8770746564097	43.4268682343633	41.1266534348983	35.8245935975092	30.49876354102	37.2522605196678	29.9904231031284	33.7372235606795	34.7455034560285	32.1839506691545	30.1973984093009	26.9257263528646
ostta01g00970	32.4475553383031	28.7496456624953	25.2704937771681	31.1107596794411	27.5507667651261	29.1749075691085	30.1790433720307	22.7617942831794	24.4597583248459	20.0500784478564	18.3633235067362	19.3783681866452	21.8450659026982	24.7474639808972	21.8061203207419
ostta01g00980	119.634945703498	111.890484711577	101.805217252331	106.404041494062	99.8098276077944	94.4941751477461	129.496736423889	151.446224912175	149.692689488572	54.5157432498171	55.9138214805148	52.4110920727427	87.5234110158426	83.9442881496592	71.9723397701954
ostta01g00990	77.0697718638816	76.5014311832989	62.4259547228301	66.1944932118717	67.0711849409223	72.5416196237037	60.5271721612769	64.8416577813246	52.2700963599478	67.4542835369904	63.0247252433789	53.1220716526658	47.4548005649355	48.5707585745115	51.3073665569902
ostta01g01000	8.93765448054885	8.58846023118358	9.76013836605945	8.68857807015038	7.48272460591438	8.24118397984244	6.70055283308713	5.62596027904072	5.02731712137833	11.7948870628486	11.7948870628486	10.6247919918557	2.06807672747508	0.792749372783156	0.448375649167393
ostta01g01020	946.474799023055	1062.116752324	1180.63030841476	1072.614583496	1026.52478742993	992.319828991624	1769.06969856007	1966.89513734789	2012.63008262442	1862.4822823043	2041.70319680139	2012.63008262442	2041.70319680139	2129.38855040041	2129.38855040041
ostta01g01030	752.848469033314	782.950805070684	683.069248886884	456.019780567026	437.800401039809	441.466992550093	586.645066333892	659.602145051594	465.815898742045	394.048559991019	411.679452243816	416.537431208353	654.380375388151	833.928811666398	728.678599931817
ostta01g01040	596.735589729977	596.735589729977	574.871636178666	311.584006571677	283.521095703395	319.00660335733	239.537952979097	230.560968673381	203.42343916234	319.00660335733	295.296315486059	325.964608732914	408.300892274172	432.456857977964	542.88392911395
