t10C_1	t10C_2	t10C_3	t14C_1	t14C_2	t14C_3	t20C_1	t20C_2	t20C_3	t26C_1	t26C_2	t26C_3
191.073914	171.085129	175.636978	128.165665	121.973244	117.24543	142.121735	138.774078	136.889191	90.057533	94.178894	85.869743
122.150589	115.730247	110.215851	82.31694	82.238426	82.768082	84.061432	72.080185	68.485153	67.26091	69.340225	67.289131
149.450348	177.009064	176.314651	132.033005	136.576614	139.849396	126.940468	162.394882	163.643555	131.324127	131.248871	141.781845
37.040085	49.80764	42.390697	62.037472	67.796547	75.709686	78.678093	66.971024	71.015404	72.331207	71.645592	74.677475
40.124985	54.722099	51.143272	57.881962	66.30571	70.774483	90.574066	81.11087	83.043015	76.023163	76.513733	73.994637
18.161646	14.01548	17.276745	15.607558	16.573858	16.053127	15.26076	17.311865	12.058023	14.960794	16.80772	16.995337
30.638901	31.039293	28.258791	22.895376	24.48979	24.646557	17.940422	18.379347	15.918993	17.610058	16.522247	16.555544
295.517181	255.317291	262.917297	220.071213	248.273758	233.266434	246.133804	199.589859	223.426895	199.423752	205.303406	195.949722
86.230331	79.075691	83.386909	87.918564	90.143547	93.996407	85.367714	72.754776	76.852821	79.674286	80.211594	90.130905
40.014992	53.546108	71.935699	44.378086	44.961269	64.32972	44.725929	43.038403	42.037048	45.844734	54.55801	49.647305
136.207657	198.07312	285.263947	541.266541	564.599121	646.59198	706.87738	639.645874	699.760071	618.631531	587.302185	630.001831
225.884735	222.892487	213.645248	264.368958	303.12265	333.774506	305.972717	304.290009	352.836456	313.300385	312.256256	299.494965
168.685104	174.057251	146.413574	81.281448	76.509941	69.812477	91.911949	133.044357	116.508247	140.027634	147.308334	147.420166
39.207237	32.957714	40.329163	42.972893	43.718384	37.297653	45.062035	44.798401	39.582268	61.024307	59.527512	58.568657
1.357332	1.493047	1.495854	1.950736	0.268843	0.621532	0.489349	0.062655	0	0.03422	1.25133	0.993897
57.175079	42.246128	46.467632	37.360569	38.683681	40.482807	53.055965	53.81321	58.564751	56.202847	49.918865	46.436939
28.564287	32.991402	32.639488	33.18858	35.376259	31.089388	43.500217	38.764675	34.893448	40.816628	43.023922	41.465569
24.456703	23.540298	20.077271	17.442055	16.234283	16.240515	20.433744	21.743702	19.225615	19.520124	20.961136	16.155293
28.115042	40.697666	49.734692	37.261276	47.898636	46.130009	47.174164	51.042007	46.362663	55.171322	56.883934	62.151684
203.875702	185.687271	174.450165	245.322342	241.834122	240.219162	221.110138	213.027588	224.492538	271.643463	274.790741	273.297638
57.212357	77.430595	96.590851	82.61837	79.048409	87.22081	77.837044	76.596291	97.211197	145.786423	120.815018	125.321465
61.09491	57.159546	46.673157	36.590233	35.893547	35.873615	36.491516	31.594173	31.501591	31.583818	33.251873	29.695154
16.002016	15.680035	16.391047	14.825981	14.968629	15.097552	20.799852	17.134821	14.473476	17.256395	15.83633	16.387981
172.181732	199.530945	177.902328	130.194382	128.389465	131.642883	69.580963	68.735878	72.753662	85.341545	89.778168	86.335571
74.824226	72.086403	71.423149	51.508736	55.018444	61.836594	72.198318	84.136948	80.992805	72.579514	69.683846	78.832077
0.180413	0.194167	0.121125	0.069622	0.032577	0.014428	0.029119	0	0	0.044427	0.080869	0.030033
14.850807	15.357976	14.125474	13.350011	13.15661	13.549263	10.210217	8.070464	5.360078	19.705082	19.840225	16.363619
0.177547	0.367673	0.455754	0.170765	0.082102	0.230744	0.075083	0.115341	0.190281	0.123734	0.117283	0.173125
41.964394	44.197639	45.558689	44.811424	46.309105	51.236324	58.888081	55.316029	61.397224	46.874813	47.854641	48.295719
0.427623	0.59091	0.552363	0.310042	0.186528	0.314939	0.25638	0.499731	0.267923	0.267829	0.248945	0.362014
